"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"7/19/2024","7/19/2024","7/22/2024","AAPL","AAPL 11/15/2024 Call $250.00","STO","1","$5.00","$499.94"
"7/19/2024","7/19/2024","7/22/2024","NVDA","NVDA 7/19/2024 Put $121.00","BTC","1","$3.10","($310.03)"
"7/18/2024","7/18/2024","7/19/2024","AMZN","AMZN 7/26/2024 Call $210.00","BTC","1","$0.11","($11.03)"
"7/16/2024","7/16/2024","7/17/2024","","ACH Deposit","ACH","","","$5,000.00"
"7/12/2024","7/12/2024","7/15/2024","NVDA","Option Expiration for NVDA 7/12/2024 Call $132.00","OEXP","1","",""
"7/8/2024","7/8/2024","7/8/2024","NFLX","Netflix
CUSIP: 64110L106","ACATI","106","",""
"7/2/2024","7/2/2024","7/3/2024","TSLA","TSLA 7/26/2024 Call $245.00","STO","1","$8.51","$850.93"
"7/2/2024","7/2/2024","7/3/2024","TSLA","TSLA 7/19/2024 Call $260.00","BTC","1","$1.94","($194.03)"
"7/2/2024","7/2/2024","7/3/2024","TSLA","TSLA 7/19/2024 Call $225.00","BTC","1","$10.79","($1,079.03)"
"7/2/2024","7/2/2024","7/3/2024","TSLA","TSLA 7/19/2024 Call $260.00","STO","1","$2.03","$202.95"
"7/2/2024","7/2/2024","7/3/2024","AAPL","AAPL 7/19/2024 Call $222.50","STO","1","$1.92","$191.95"
"7/2/2024","7/2/2024","7/3/2024","AMZN","AMZN 7/26/2024 Call $210.00","STO","1","$2.58","$257.95"
"7/2/2024","7/2/2024","7/3/2024","TSLA","TSLA 7/19/2024 Call $225.00","STO","1","$6.85","$684.94"
"6/28/2024","6/28/2024","7/1/2024","NVDA","NVIDIA
CUSIP: 67066G104","Buy","20","$124.57","($2,491.40)"
"6/27/2024","6/27/2024","6/27/2024","","ACAT In Bonus Interest Payment","ABIP","","","$912.60"
"6/27/2024","6/27/2024","6/27/2024","TSLA","Tesla
CUSIP: 88160R101","ACATI","100","",""
"6/27/2024","6/27/2024","6/27/2024","C","Citigroup
CUSIP: 172967424","ACATI","100","",""
"6/27/2024","6/27/2024","6/27/2024","AAPL","Apple
CUSIP: 037833100","ACATI","200","",""
"6/27/2024","6/27/2024","6/27/2024","AMZN","Amazon
CUSIP: 023135106","ACATI","100","",""
"6/27/2024","6/27/2024","6/27/2024","","ACAT IN control_num = 20241760060289, firm_id = 0164, acct_num = 10979563","ACATI","","","$3,487.01"
"6/25/2024","6/25/2024","6/26/2024","NVDA","NVDA 7/19/2024 Put $121.00","STO","1","$4.40","$439.94"
"6/24/2024","6/24/2024","6/24/2024","","Wire deposit","ICWIRE","","","$5,000.00"
"6/24/2024","6/24/2024","6/25/2024","","ACH CANCEL","ACH","","","($5,000.00)"
"6/24/2024","6/24/2024","6/25/2024","","ACH Deposit","ACH","","","$5,000.00"
"6/24/2024","6/24/2024","6/25/2024","NVDA","NVDA 7/12/2024 Call $132.00","STO","1","$2.14","$213.95"
"6/24/2024","6/24/2024","6/24/2024","","ACAT In Bonus Interest Payment","ABIP","","","$315.64"
"6/24/2024","6/24/2024","6/24/2024","NVDA","NVIDIA
CUSIP: 67066G104","ACATI","200","",""
"6/24/2024","6/24/2024","6/24/2024","","ACAT IN control_num = 20241700043490, firm_id = 0164, acct_num = 10979563","ACATI","","","$6,250.06"
"6/11/2024","6/11/2024","6/13/2024","","ACH Deposit","ACH","","","$1,000.00"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
