Symbol,Name,Sector,Industry,,,,,,,$
BCBP,BCB Bancorp (NJ),Finance,Savings Institutions,,,,,,,
BCC,Boise Cascade LLC, Acquisition, Acquisition,,,,,,,
BCDA,BioCardia,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BCE,BCE, Acquisition, Acquisition,,,,,,,
BCEL,Atreca Class A,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BCH,Banco De Chile Banco De Chile ADS,Finance,Commercial Banks,,,,,,,
BCLI,Brainstorm Cell Therapeutics,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
BCML,BayCom Corp,Finance,Major Banks,,,,,,,
BCO,Brinks Company (The),Miscellaneous,Diversified Manufacture,,,,,,,
BCOR,Blucora,Finance,Investment Managers,,,,,,,
BCOV,Brightcove,Technology,EDP Services,,,,,,,
BCOW,1895 Bancorp of Wisconsin (MD),Finance,Finance: Consumer Services,,,,,,,
BCPC,Balchem Corporation,Basic Industries,Industrial Specialties,,,,,,,
BCRX,BioCryst Pharmaceuticals,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
BCS,Barclays PLC,Finance,Commercial Banks,,,,,,,
BCSA,Blockchain Coinvestors Acquisition Corp I Class A Ordinary Shares, Acquisition, Acquisition,,,,,,,
BCSAU,Blockchain Coinvestors Acquisition Corp I Unit, Acquisition, Acquisition,,,,,,,
BCSF,Bain Capital Specialty Finance,Finance,Finance/Investors Services,,,,,,,
BCTX,BriaCell Therapeutics Corp Common Shares, Acquisition, Acquisition,,,,,,,
BCV,Bancroft Fund Ltd,Finance,Finance/Investors Services,,,,,,,
BCX,BlackRock Resources Common Shares of Beneficial Interest,Finance,Finance/Investors Services,,,,,,,
BCYC,Bicycle Therapeutics plc American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BDC,Belden,Capital Goods,Telecommunications Equipment,,,,,,,
BDJ,Blackrock Enhanced Equity Dividend Trust,Finance,Finance Companies,,,,,,,
BDL,Flanigan's Enterprises,Consumer Services,Restaurants,,,,,,,
BDN,Brandywine Realty Trust,Consumer Services,Real Estate Investment Trusts,,,,,,,
BDR,Blonder Tongue Laboratories,Technology,Radio And Television Broadcasting And Communications Equipment,,,,,,,
BDSX,Biodesix,Health Care,Precision Instruments,,,,,,,
BDTX,Black Diamond Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BDX,Becton Dickinson and Company,Health Care,Medical/Dental Instruments,,,,,,,
BDXB,Becton Dickinson and Company Depositary Shares each Representing a 1/20th Interest in a Share of 600% Mandatory Convertible Preferred Stock Series B,Health Care,Medical/Dental Instruments,,,,,,,
BE,Bloom Energy Corporation Class A,Consumer Durables,Electrical Products,,,,,,,
BEAM,Beam Therapeutics,Consumer Durables,Specialty Chemicals,,,,,,,
BEAT,Heartbeam,Technology,Retail: Computer Software & Peripheral Equipment,,,,,,,
BECN,Beacon Roofing Supply,Capital Goods,Wholesale Distributors,,,,,,,
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing one Class A Ordinary Share,Miscellaneous,Other Consumer Services,,,,,,,
BEEM,Beam Global,Technology,Semiconductors,,,,,,,
BEKE,KE Holdings American Depositary Shares (each representing three Class A Ordinary Shares),Finance,Real Estate,,,,,,,
BELFA,Bel Fuse Class A,Capital Goods,Electrical Products,,,,,,,
BELFB,Bel Fuse Class B,Capital Goods,Electrical Products,,,,,,,
BEN,Franklin Resources,Finance,Investment Managers,,,,,,,
BENE,Benessere Capital Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
BENER,Benessere Capital Acquisition Corp Right,Finance,Business Services,,,,,,,
BENEU,Benessere Capital Acquisition Corp Unit, Acquisition, Acquisition,,,,,,,
BENEW,Benessere Capital Acquisition Corp Warrant, Acquisition, Acquisition,,,,,,,
BEP,Brookfield Renewable Partners LP ,Public Utilities,Electric Utilities: Central,,,,,,,
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares , Acquisition, Acquisition,,,,,,,
BEPH,Brookfield BRP Holdings (Canada) 4625% Perpetual Subordinated Notes, Acquisition, Acquisition,,,,,,,
BEPI,Brookfield BRP Holdings (Canada) 4875% Perpetual Subordinated Notes, Acquisition, Acquisition,,,,,,,
BERY,Berry Global Group,Consumer Non-Durables,Plastic Products,,,,,,,
BEST,BEST American Depositary Shares each representing one Class A Ordinary Share, Acquisition, Acquisition,,,,,,,
BFAM,Bright Horizons Family Solutions,Miscellaneous,Other Consumer Services,,,,,,,
BFC,Bank First Corporation,Finance,Major Banks,,,,,,,
BFI,BurgerFi International ,Consumer Services,Restaurants,,,,,,,
BFIN,BankFinancial Corporation,Finance,Major Banks,,,,,,,
BFK,BlackRock Municipalome Trust,Finance,Finance Companies,,,,,,,
BFLY,Butterfly Network Class A,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,,,
BFRI,Biofrontera,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BFS,Saul Centers,Consumer Services,Real Estate Investment Trusts,,,,,,,
BFST,Business First Bancshares,Finance,Major Banks,,,,,,,
BFZ,BlackRock California Municipalome Trust,Finance,Finance Companies,,,,,,,
BG,Bunge Limited Bunge Limited,Basic Industries,Industrial Specialties,,,,,,,
BGB,Blackstone Strategic Credit Fund Common Shares,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BGCP,BGC Partners Class A,Finance,Investment Bankers/Brokers/Service,,,,,,,
BGFV,Big 5 Sporting Goods Corporation,Consumer Services,Other Specialty Stores,,,,,,,
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,Finance,Investment Managers,,,,,,,
BGI,Birks Group, Acquisition, Acquisition,,,,,,,
BGNE,BeiGene Ltd American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BGR,BlackRock Energy and Resources Trust,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BGRY,Berkshire Grey Class A,Capital Goods,Office Equipment/Supplies/Services,,,,,,,
BGRYW,Berkshire Grey Warrant,Capital Goods,Office Equipment/Supplies/Services,,,,,,,
BGS,B&G Foods B&G Foods,Consumer Non-Durables,Packaged Foods,,,,,,,
BGSF,BGSF,Technology,Diversified Commercial Services,,,,,,,
BGSX,Build Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
BGT,BlackRock Floating Rateome Trust,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BGX,Blackstone Long Short Creditome Fund Common Shares,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BGY,Blackrock Enhanced International Dividend Trust,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BH,Biglari Holdings Class B,Consumer Services,Restaurants,,,,,,,
BHAC,Crixus BH3 Acquisition Company Class A, Acquisition, Acquisition,,,,,,,
BHACU,Crixus BH3 Acquisition Company Units, Acquisition, Acquisition,,,,,,,
BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares,Consumer Non-Durables,Recreational Products/Toys,,,,,,,
BHB,Bar Harbor Bankshares,Finance,Major Banks,,,,,,,
BHC,Bausch Health Companies, Acquisition, Acquisition,,,,,,,
BHE,Benchmark Electronics,Technology,Electrical Products,,,,,,,
BHF,Brighthouse Financial,Finance,Life Insurance,,,,,,,
BHFAL,Brighthouse Financial 625% Junior Subordinated Debentures due 2058,Finance,Life Insurance,,,,,,,
BHFAM,Brighthouse Financial Depositary shares each representing a 1/1000th Interest in a Share of 4625% Non-Cumulative Preferred Stock Series D,Finance,Life Insurance,,,,,,,
BHFAN,Brighthouse Financial Depositary shares each representing a 1/1000th interest in a share of 5375% Non-Cumulative Preferred Stock Series C,Finance,Life Insurance,,,,,,,
BHFAO,Brighthouse Financial Depositary Shares 675% Non-Cumulative Preferred Stock Series B,Finance,Life Insurance,,,,,,,
BHFAP,Brighthouse Financial Depositary Shares 66% Non-Cumulative Preferred Stock Series A,Finance,Life Insurance,,,,,,,
BHG,Bright Health Group,Health Care,Medical Specialities,,,,,,,
BHIL,Benson Hill,Farming/Seeds/Milling,Farming/Seeds/Milling,,,,,,,
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust,Finance,Finance Companies,,,,,,,
BHLB,Berkshire Hills Bancorp,Finance,Savings Institutions,,,,,,,
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Basic Industries,Precious Metals,,,,,,,
BHR,Braemar Hotels & Resorts,Consumer Services,Real Estate Investment Trusts,,,,,,,
BHSE,Bull Horn Holdings Corp Ordinary Shares,Finance,Business Services,,,,,,,
BHSEU,Bull Horn Holdings Corp Unit,Finance,Business Services,,,,,,,
BHV,BlackRock Virginia Municipal Bond Trust,Finance,Finance/Investors Services,,,,,,,
BHVN,Biohaven Pharmaceutical Holding Company Ltd Common Shares,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BIDU,Baidu ADS,Technology,Computer Software: Programming Data Processing,,,,,,,
BIF,Boulder Growth &ome Fund,Finance,Investment Managers,,,,,,,
BIG,Big Lots,Consumer Services,Department/Specialty Retail Stores,,,,,,,
BIGC,BigCommerce Holdings Series 1,Technology,Computer Software: Prepackaged Software,,,,,,,
BIGZ,BlackRock Innovation and Growth Trust Common Shares of Beneficial Interest, Acquisition, Acquisition,,,,,,,
BIIB,Biogen,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BILI,Bilibili American Depositary Shares,Technology,EDP Services,,,,,,,
BILL,Billcom Holdings,Technology,Computer Software: Prepackaged Software,,,,,,,
BIMI,BIMI International Medical,Health Care,Medical/Nursing Services,,,,,,,
BIO,Bio-Rad Laboratories Class A,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,,,
BIOC,Biocept,Health Care,Biotechnology: Commercial Physical & Biological Resarch,,,,,,,
BIOL,Biolase,Health Care,Medical/Dental Instruments,,,,,,,
BIOSU,BioPlus Acquisition Corp Unit, Acquisition, Acquisition,,,,,,,
BIOT,Biotech Acquisition Company Class A Ordinary Shares,Finance,Business Services,,,,,,,
BIOTU,Biotech Acquisition Company Unit,Finance,Business Services,,,,,,,
BIOX,Bioceres Crop Solutions Corp Ordinary Shares,Basic Industries,Agricultural Chemicals,,,,,,,
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,Public Utilities,Power Generation,,,,,,,
BIPC,Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares , Acquisition, Acquisition,,,,,,,
BIPH,Brookfield Infrastructure Corporation 5000% Subordinated Notes due 2081,Health Care,Medical/Dental Instruments,,,,,,,
BIRD,Allbirds Class A,Consumer Non-Durables,Shoe Manufacturing,,,,,,,
BIT,BlackRock Multi-Sectorome Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BITE,Bite Acquisition Corp, Acquisition, Acquisition,,,,,,,
BITF,Bitfarms Ltd, Acquisition, Acquisition,,,,,,,
BIVI,BioVie Class A,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BJ,BJ's Wholesale Club Holdings,Consumer Services,Department/Specialty Retail Stores,,,,,,,
BJDX,Bluejay Diagnostics,Health Care,Medical Specialities,,,,,,,
BJRI,BJ's Restaurants,Consumer Services,Restaurants,,,,,,,
BK,The Bank of New York Mellon Corporation,Finance,Investment Managers,,,,,,,
BKCC,BlackRock Capital Investment Corporation,Finance,Investment Managers,,,,,,,
BKD,Brookdale Senior Living,Health Care,Hospital/Nursing Management,,,,,,,
BKE,Buckle (The),Consumer Services,Clothing/Shoe/Accessory Stores,,,,,,,
BKEP,Blueknight Energy Partners LP Common Units,Energy,Oil & Gas Production,,,,,,,
BKEPP,Blueknight Energy Partners LP Series A Preferred Units,Energy,Oil & Gas Production,,,,,,,
BKH,Black Hills Corporation,Public Utilities,Electric Utilities: Central,,,,,,,
BKI,Black Knight ,Technology,EDP Services,,,,,,,
BKKT,Bakkt Holdings Class A,Technology,Computer Software: Prepackaged Software,,,,,,,
BKN,BlackRock Investment Quality Municipal Trust (The),Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BKNG,Booking Holdings,Transportation,Other Consumer Services,,,,,,,
BKR,Baker Hughes Company Class A,Energy,Oilfield Services/Equipment,,,,,,,
BKSC,Bank of South Carolina Corp,Finance,Major Banks,,,,,,,
BKSY,BlackSky Technology Class A,Capital Goods,Industrial Machinery/Components,,,,,,,
BKT,BlackRockome Trust (The),Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BKTI,BK Technologies Corporation,Technology,Radio And Television Broadcasting And Communications Equipment,,,,,,,
BKU,BankUnited,Finance,Savings Institutions,,,,,,,
BKYI,BIO-key International,Miscellaneous,Diversified Manufacture,,,,,,,
BL,BlackLine,Technology,Computer Software: Prepackaged Software,,,,,,,
BLBD,Blue Bird Corporation,Capital Goods,Construction/Ag Equipment/Trucks,,,,,,,
BLBX,Blackboxstocks,Technology,EDP Services,,,,,,,
BLCM,Bellicum Pharmaceuticals,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BLCT,BlueCity Holdings Limited American Depositary Shares,Technology,EDP Services,,,,,,,
BLD,TopBuild Corp,Capital Goods,Engineering & Construction,,,,,,,
BLDE,Blade Air Mobility Class A,Transportation,Aerospace,,,,,,,
BLDP,Ballard Power Systems Common Shares, Acquisition, Acquisition,,,,,,,
BLDR,Builders FirstSource,Consumer Services,RETAIL: Building Materials,,,,,,,
BLE,BlackRock Municipalome Trust II,Finance,Finance/Investors Services,,,,,,,
BLEU,bleuacacia ltd Class A Ordinary Shares, Acquisition, Acquisition,,,,,,,
BLEUU,bleuacacia ltd Unit, Acquisition, Acquisition,,,,,,,
BLFS,BioLife Solutions,Health Care,Medical/Dental Instruments,,,,,,,
BLFY,Blue Foundry Bancorp,Finance,Commercial Banks,,,,,,,
BLI,Berkeley Lights,Consumer Durables,Specialty Chemicals,,,,,,,
BLIN,Bridgeline Digital,Technology,EDP Services,,,,,,,
BLK,BlackRock,Finance,Investment Bankers/Brokers/Service,,,,,,,
BLKB,Blackbaud,Technology,Computer Software: Prepackaged Software,,,,,,,
BLL,Ball Corporation,Consumer Durables,Containers/Packaging,,,,,,,
BLMN,Bloomin' Brands,Consumer Services,Restaurants,,,,,,,
BLND,Blend Labs Class A,Technology,EDP Services,,,,,,,
BLNG,Belong Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
BLNK,Blink Charging Co,Capital Goods,Oilfield Services/Equipment,,,,,,,
BLPH,Bellerophon Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BLRX,BioLineRx Ltd American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BLSA,BCLS Acquisition Corp Class A Ordinary Shares,Finance,Business Services,,,,,,,
BLTS,Bright Lights Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
BLTSU,Bright Lights Acquisition Corp Unit, Acquisition, Acquisition,,,,,,,
BLU,BELLUS Health Common Shares, Acquisition, Acquisition,,,,,,,
BLUA,BlueRiver Acquisition Corp Class A Ordinary Shares,Finance,Business Services,,,,,,,
BLUE,bluebird bio,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
BLW,Blackrock Limited Durationome Trust,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BLX,Banco Latinoamericano de Comercio Exterior SA,Finance,Commercial Banks,,,,,,,
BLZE,Backblaze Class A,Technology,Computer Software: Prepackaged Software,,,,,,,
BMA,Banco Macro SA  ADR (representing Ten Class B Common Shares),Finance,Commercial Banks,,,,,,,
BMAC,Black Mountain Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
BMAQ,Blockchain Moon Acquisition Corp, Acquisition, Acquisition,,,,,,,
BMAQU,Blockchain Moon Acquisition Corp Units, Acquisition, Acquisition,,,,,,,
BMBL,Bumble Class A,Technology,Computer Software: Prepackaged Software,,,,,,,
BME,Blackrock Health Sciences Trust,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BMEA,Biomea Fusion,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BMEZ,BlackRock Health Sciences Trust II Common Shares of Beneficial Interest,Finance,Finance/Investors Services,,,,,,,
BMI,Badger Meter,Capital Goods,Industrial Machinery/Components,,,,,,,
BMO,Bank Of Montreal, Acquisition, Acquisition,,,,,,,
BMRA,Biomerica,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,,,
BMRC,Bank of Marin Bancorp,Finance,Major Banks,,,,,,,
BMRN,BioMarin Pharmaceutical,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BMTX,BM Technologies,Technology,EDP Services,,,,,,,
BMY,Bristol-Myers Squibb Company,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BNED,Barnes & Noble Education,Consumer Services,Other Specialty Stores,,,,,,,
BNFT,Benefitfocus,Technology,Computer Software: Prepackaged Software,,,,,,,
BNGO,Bionano Genomics,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,,,
BNIX,Bannix Acquisition Corp, Acquisition, Acquisition,,,,,,,
BNL,Broadstone Net Lease,Consumer Services,Real Estate Investment Trusts,,,,,,,
BNNR,Banner Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
BNOX,Bionomics Limited American Depository Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
BNR,Burning Rock Biotech Limited American Depositary Shares,Health Care,Medical Specialities,,,,,,,
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares, Acquisition, Acquisition,,,,,,,
BNSO,Bonso Electronics International,Capital Goods,Industrial Machinery/Components,,,,,,,
BNTC,Benitec Biopharma,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BNTX,BioNTech SE American Depositary Share,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,,
BNY,BlackRock New York Municipalome Trust,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BOAC,Bluescape Opportunities Acquisition Corp Class A Ordinary Shares,Finance,Business Services,,,,,,,
BOAS,BOA Acquisition Corp Class A, Acquisition, Acquisition,,,,,,,
BOCNU,Blue Ocean Acquisition Corp Unit, Acquisition, Acquisition,,,,,,,
BODY,The Beachbody Company Class A,Capital Goods,Industrial Machinery/Components,,,,,,,
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BOH,Bank of Hawaii Corporation,Finance,Major Banks,,,,,,,
BOKF,BOK Financial Corporation,Finance,Major Banks,,,,,,,
BOLT,Bolt Biotherapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BON,Bon Natural Life Limited Ordinary Shares,Consumer Services,Real Estate Investment Trusts,,,,,,,
BOOM,DMC Global, Acquisition, Acquisition,,,,,,,
BOOT,Boot Barn Holdings,Consumer Services,Clothing/Shoe/Accessory Stores,,,,,,,
BORR,Borr Drilling Limited Common Shares,Energy,Oil & Gas Production,,,,,,,
BOSC,BOS Better Online Solutions,Technology,Computer Communications Equipment,,,,,,,
BOTJ,Bank of the James Financial Group,Finance,Major Banks,,,,,,,
BOWL,Bowlero Corp Class A,Consumer Services,Movies/Entertainment,,,,,,,
BOX,Box Class A,Technology,Computer Software: Prepackaged Software,,,,,,,
BOXD,Boxed,Miscellaneous,Diversified Commercial Services,,,,,,,
BOXL,Boxlight Corporation Class A,Capital Goods,Telecommunications Equipment,,,,,,,
BP,BP plc,Energy,Integrated oil Companies,,,,,,,
BPACU,Bullpen Parlay Acquisition Company Unit, Acquisition, Acquisition,,,,,,,
BPMC,Blueprint Medicines Corporation,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BPOP,Popular,Finance,Major Banks,,,,,,,
BPOPM,Popular Popular Capital Trust II - 6125% Cumulative Monthlyome Trust Preferred Securities,Finance,Major Banks,,,,,,,
BPRN,The Bank of Princeton,Finance,Major Banks,,,,,,,
BPT,BP Prudhoe Bay Royalty Trust,Energy,Integrated oil Companies,,,,,,,
BPTH,Bio-Path Holdings,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BPTS,Biophytis SA American Depositary Share,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BPYPM,Brookfield Property Partners LP 625% Class A Cumulative Redeemable Preferred Units Series 1, Acquisition, Acquisition,,,,,,,
BPYPN,Brookfield Property Partners LP 5750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,Finance,Finance/Investors Services,,,,,,,
BPYPO,Brookfield Property Partners LP 6375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,Finance,Real Estate,,,,,,,
BPYPP,Brookfield Property Partners LP 650% Class A Cumulative Redeemable Perpetual Preferred Units,Finance,Real Estate,,,,,,,
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,Consumer Services,Other Specialty Stores,,,,,,,
BR,Broadridge Financial Solutions,Miscellaneous,Business Services,,,,,,,
BRACU,Broad Capital Acquisition Corp Unit, Acquisition, Acquisition,,,,,,,
BRAG,Bragg Gaming Group Common Shares, Acquisition, Acquisition,,,,,,,
BRBR,BellRing Brands Class A,Consumer Non-Durables,Beverages (Production/Distribution),,,,,,,
BRBS,Blue Ridge Bankshares,Finance,Commercial Banks,,,,,,,
BRC,Brady Corporation,Miscellaneous,Diversified Manufacture,,,,,,,
BRCN,Burcon NutraScience Corp,Basic Industries,Precious Metals,,,,,,,
BRD,Beard Energy Transition Acquisition Corp, Acquisition, Acquisition,,,,,,,
BRDG,Bridge Investment Group Holdings Class A,Consumer Services,Real Estate Investment Trusts,,,,,,,
BRDS,Bird Global Class A,Technology,Diversified Commercial Services,,,,,,,
BREZ,Breeze Holdings Acquisition Corp, Acquisition, Acquisition,,,,,,,
BRFS,BRF SA,Consumer Non-Durables,Meat/Poultry/Fish,,,,,,,
BRG,Bluerock Residential Growth REIT Class A,Consumer Services,Real Estate Investment Trusts,,,,,,,
BRID,Bridgford Foods Corporation,Consumer Non-Durables,Specialty Foods,,,,,,,
BRIV,B Riley Principal 250 Merger Corp Class A, Acquisition, Acquisition,,,,,,,
BRKHU,BurTech Acquisition Corp Unit, Acquisition, Acquisition,,,,,,,
BRKL,Brookline Bancorp,Finance,Savings Institutions,,,,,,,
BRKR,Bruker Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments,,,,,,,
BRLI,Brilliant Acquisition Corporation Ordinary Shares,Finance,Business Services,,,,,,,
BRLT,Brilliant Earth Group Class A,Consumer Non-Durables,Consumer Specialties,,,,,,,
BRMK,Broadmark Realty Capital,Consumer Services,Real Estate Investment Trusts,,,,,,,
BRN,Barnwell Industries,Energy,Oil & Gas Production,,,,,,,
BRO,Brown & Brown,Finance,Specialty Insurers,,,,,,,
BROG,Brooge Energy Limited Ordinary Shares,Energy,Integrated oil Companies,,,,,,,
BROS,Dutch Bros Class A,Consumer Services,Restaurants,,,,,,,
BRP,BRP Group (Insurance Company) Class A,Finance,Specialty Insurers,,,,,,,
BRPM,B Riley Principal 150 Merger Corp Class A, Acquisition, Acquisition,,,,,,,
BRPMU,B Riley Principal 150 Merger Corp Unit, Acquisition, Acquisition,,,,,,,
BRQS,Borqs Technologies,Technology,EDP Services,,,,,,,
BRSP,BrightSpire Capital Class A,Consumer Services,Real Estate Investment Trusts,,,,,,,
BRT,BRT Apartments Corp (MD),Consumer Services,Real Estate Investment Trusts,,,,,,,
BRTX,BioRestorative Therapies,Health Care,Managed Health Care,,,,,,,
BRW,Saba Capitalome & Opportunities Fund SBI,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BRX,Brixmor Property Group,Consumer Services,Real Estate Investment Trusts,,,,,,,
BRY,Berry Corporation (bry),Energy,Oil & Gas Production,,,,,,,
BRZE,Braze Class A,Technology,Computer Software: Prepackaged Software,,,,,,,
BSAC,Banco Santander - Chile ADS,Finance,Commercial Banks,,,,,,,
BSAQ,Black Spade Acquisition Co Class A Ordinary Shares, Acquisition, Acquisition,,,,,,,
BSBK,Bogota Financial Corp, Acquisition, Acquisition,,,,,,,
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,Finance,Commercial Banks,,,,,,,
BSET,Bassett Furniture Industriesorporated,Consumer Durables,Home Furnishings,,,,,,,
BSFC,Blue Star Foods Corp,Consumer Non-Durables,Farming/Seeds/Milling,,,,,,,
BSGA,Blue Safari Group Acquisition Corp Class A Ordinary Share, Acquisition, Acquisition,,,,,,,
BSGM,BioSig Technologies,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,,,,,,,
BSIG,BrightSphere Investment Group,Finance,Finance/Investors Services,,,,,,,
BSKY,Big Sky Growth Partners Class A, Acquisition, Acquisition,,,,,,,
BSKYU,Big Sky Growth Partners Unit, Acquisition, Acquisition,,,,,,,
BSL,Blackstone Senior Floating Rate Term Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BSM,Black Stone Minerals LP Common units representing limited partner interests,Energy,Oil & Gas Production,,,,,,,
BSMX,Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santander Mexico,Finance,Commercial Banks,,,,,,,
BSQR,BSQUARE Corporation,Technology,Computer Software: Prepackaged Software,,,,,,,
BSRR,Sierra Bancorp,Finance,Major Banks,,,,,,,
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,Finance,Finance Companies,,,,,,,
BSTZ,BlackRock Science and Technology Trust II Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BSVN,Bank7 Corp,Finance,Major Banks,,,,,,,
BSX,Boston Scientific Corporation,Health Care,Medical/Dental Instruments,,,,,,,
BSY,Bentley Systemsorporated Class B,Technology,Retail: Computer Software & Peripheral Equipment,,,,,,,
BTA,BlackRock Long-Term Municipal Advantage Trust BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
BTAI,BioXcel Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BTB,Bit Brother Limited Ordinary Shares, Acquisition, Acquisition,,,,,,,
BTBD,BT Brands,Consumer Services,Restaurants,,,,,,,
BTBT,Bit Digital,Finance,Finance: Consumer Services,,,,,,,
BTCM,BIT Mining Limited ADS,Technology,EDP Services,,,,,,,
BTCS,BTCS,Finance,Investment Managers,,,,,,,
BTCY,Biotricity,Health Care,Medical/Dental Instruments,,,,,,,
BTG,B2Gold Corp Common shares (Canada), Acquisition, Acquisition,,,,,,,
BTI,British American Tobacco  Industries plc ADR,Consumer Non-Durables,Farming/Seeds/Milling,,,,,,,
BTN,Ballantyne Strong,Miscellaneous,Industrial Machinery/Components,,,,,,,
BTO,John Hancock Financial Opportunities Fund,Finance,Investment Managers,,,,,,,
BTRS,BTRS Holdings Class 1,Technology,EDP Services,,,,,,,
BTT,BlackRock Municipal 2030 Target Term Trust,Finance,Investment Managers,,,,,,,
BTTR,Better Choice Company,Consumer Non-Durables,Food Distributors,,,,,,,
BTTX,Better Therapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BTU,Peabody Energy Corporation ,Energy,Coal Mining,,,,,,,
BTWN,Bridgetown Holdings Limited Class A Ordinary Shares,Finance,Business Services,,,,,,,
BTWNU,Bridgetown Holdings Limited Units,Finance,Business Services,,,,,,,
BTWNW,Bridgetown Holdings Limited Warrants,Finance,Business Services,,,,,,,
BTX,Brooklyn ImmunoTherapeutics,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,,
BTZ,BlackRock Credit Allocationome Trust,Finance,Finance Companies,,,,,,,
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Consumer Non-Durables,Beverages (Production/Distribution),,,,,,,
BUI,BlackRock Utility Infrastructure & Power Opportunities Trust,Finance,Trusts Except Educational Religious and Charitable,,,,,,,
